chromosome,chromStart,chromEnd,strand,symbol,GeneID,feature_interval_length
chr10,85959340,86011889,-,Bpifc,270757,52550
chr10,86020449,86051873,+,Fbxo7,69754,31425
chr10,86048746,86498926,-,Syn3,27204,450181
chr10,86300412,86349505,+,Timp3,21859,49094
chr10,86526297,86541584,-,Gm6729,627035,15288
chr10,86655440,86671016,+,Gm5174,382395,15577
chr10,86690841,86705444,-,Hsp90b1,22027,14604
chr10,86705811,86776844,+,Ttc41,103220,71034
chr10,86778992,86838389,+,Nt5dc3,103466,59398
chr10,86841194,87008038,-,Stab2,192188,166845
chr10,87058046,87230599,+,1700113H08Rik,76640,172554
chr10,87490819,87493660,-,Ascl1,17172,2842
chr10,87521795,87584137,+,Pah,18478,62343
chr10,87858265,87937047,+,Igf1,16000,78783
chr10,88091072,88092374,+,Pmch,110312,1303
chr10,88091398,88146969,-,Parpbp,75317,55572
chr10,88146976,88178395,+,Nup37,69736,31420
chr10,88201097,88324139,+,Washc3,67282,123043
chr10,88322801,88364359,-,Dram1,71712,41559
chr10,88379134,88447324,+,Gnptab,432486,68191
chr10,88459587,88473236,+,Sycp3,20962,13650
chr10,88469513,88503970,-,Chpt1,212862,34458
chr10,88518279,88605229,-,Mybpc1,109272,86951
chr10,88675269,88683023,-,Spic,20728,7755
chr10,88729541,88731101,-,Gm4925,237433,1561
chr10,88730920,88744094,+,Arl1,104303,13175
chr10,88746607,88826814,-,Utp20,70683,80208
chr10,88885992,88929515,+,Slc5a8,216225,43524
chr10,88948932,89345205,-,Ano4,320091,396274
chr10,89408822,89443980,-,Gas2l3,237436,35159
chr10,89454234,89533645,-,Nr1h4,20186,79412
chr10,89574020,89621249,-,Slc17a8,216227,47230
chr10,89638720,89686317,-,Scyl2,213326,47598
chr10,89711966,89732319,-,Actr6,67019,20354
chr10,89744968,89819891,+,Uhrf1bp1l,75089,74924
chr10,89822878,89826535,+,Gm46238,108167827,3658
chr10,89872915,90973300,+,Anks1b,77531,1100386
chr10,90989311,91082743,-,Apaf1,11783,93433
chr10,91082737,91102613,+,Ikbip,67454,19877
chr10,91116574,91124046,-,Slc25a3,18674,7473
chr10,91147571,91181752,-,Tmpo,21917,34182
chr10,92684745,92723682,-,Nedd1,17997,38938
chr10,92775609,93083487,-,Cfap54,380654,307879
chr10,93160876,93251094,+,Cdk17,237459,90219
chr10,93247415,93311159,-,Elk3,13713,63745
chr10,93453396,93484896,+,Lta4h,16993,31501
chr10,93488768,93516761,+,Hal,15109,27994
chr10,93523338,93540111,-,Amdhd1,71761,16774
chr10,93540589,93584327,+,Ccdc38,237465,43739
chr10,93583029,93589658,-,Snrpf,69878,6630
chr10,93641049,93745972,+,Ntn4,57764,104924
chr10,93819956,93860210,+,Usp44,327799,40255
chr10,93858489,93897090,-,Metap2,56307,38602
chr10,93961522,94035799,-,Vezt,215008,74278
chr10,94035979,94145339,+,Fgd6,13998,109361
chr10,94147542,94197216,+,Nr2c1,22025,49675
chr10,94199035,94221440,+,Ndufa12,66414,22406
chr10,94311682,94590954,+,Tmcc3,319880,279273
chr10,94688624,94790336,+,Cep83,77048,101713
chr10,94790866,94945015,-,Plxnc1,54712,154150
chr10,95174739,95324138,-,Cradd,12905,149400
chr10,95383903,95417321,-,Socs2,216233,33419
chr10,95480805,95501949,-,Mrpl42,67270,21145
chr10,95515162,95545658,+,Ube2n,93765,30497
chr10,95547007,95564146,-,Nudt4,71207,17140
chr10,95940663,96045518,+,Eea1,216238,104856
chr10,96617001,96622813,+,Btg1,12226,5813
chr10,96901326,96920191,+,Gm46240,108167830,18866
chr10,97479500,97518163,+,Dcn,13179,38664
chr10,97565501,97572703,+,Lum,17022,7203
chr10,97606962,97613688,+,Kera,16545,6727
chr10,97644068,97681908,+,Epyc,13516,37841
chr10,97693059,97694926,+,Ccer1,66716,1868
chr10,98914630,99026143,+,Atp2b1,67972,111514
chr10,99107082,99198074,+,Poc1b,382406,90993
chr10,99108135,99113247,+,Galnt4,14426,5113
chr10,99263231,99267489,+,Dusp6,67603,4259
chr10,99757705,99759658,-,Csl,71832,1954
chr10,100015615,100100416,+,Kitl,17311,84802
chr10,100335676,100336589,+,Gm4301,100043224,914
chr10,100340836,100341762,+,Gm4302,100043227,927
chr10,100345972,100346881,+,Gm4303,100043231,910
chr10,100351093,100352002,+,Gm4305,100043235,910
chr10,100361338,100362247,+,Gm4307,100043239,910
chr10,100381647,100382560,-,Gm4312,100043247,914
chr10,100443902,100487365,-,Tmtc3,237500,43464
chr10,100487548,100575671,+,Cep290,216274,88124
chr10,100572274,100589390,-,4930430F08Rik,68281,17117
chr10,100590484,100618395,+,1700017N19Rik,66605,27912
chr10,101681487,102391851,+,Mgat4c,67569,710365
chr10,102481756,102490418,-,Nts,67405,8663
chr10,102512222,102549737,+,Rassf9,237504,37516
chr10,103007847,103029549,-,Alx1,216285,21703
chr10,103028985,103032531,+,Gm34298,102637507,3547
chr10,103044377,103236375,-,Lrriq1,74978,191999
chr10,103367808,103419379,+,Slc6a15,103098,51572
chr10,104142987,104145427,+,Gm21293,100861880,2441
chr10,104151497,104153936,+,Gm6763,627488,2440
chr10,104160006,104162444,+,Gm8764,667692,2439
chr10,104168515,104170954,+,Gm21304,100861891,2440
chr10,104177024,104179491,+,Gm21312,100861901,2468
chr10,104185533,104188000,+,Gm20765,637578,2468
chr10,104194042,104196522,+,Gm4340,100043292,2481
chr10,105187663,105574479,-,Tmtc2,278279,386817
chr10,105763185,105841380,-,Mettl25,216292,78196
chr10,105841479,105847510,+,Ccdc59,52713,6032
chr10,106469500,106933468,+,Ppfia2,327814,463969
chr10,106933514,107123761,-,Acss3,380660,190248
chr10,107271549,107425146,+,Lin7a,108030,153598
chr10,107482908,107486927,-,Myf5,17877,4020
chr10,107492848,107494723,-,Myf6,17878,1876
chr10,107514363,107720098,-,Ptprq,237523,205736
chr10,107760530,107912379,-,Otogl,628870,151850
chr10,108162092,108279985,+,Ppp1r12a,17931,117894
chr10,108322372,108333003,-,Gm40755,105245278,10632
chr10,108332189,108414391,+,Pawr,114774,82203
chr10,108497650,109010980,-,Syt1,20979,513331
chr10,108699044,108700160,-,Gm5136,368203,1117
chr10,109681260,110455722,-,Nav3,260315,774463
chr10,110745439,110787384,+,E2f7,52679,41946
chr10,110920176,110939514,+,Csrp2,13008,19339
chr10,110941779,111010066,-,Zdhhc17,320150,68288
chr10,111164742,111297249,+,Osbpl8,237542,132508
chr10,111298679,111301736,+,Bbs10,71769,3058
chr10,111472882,111498150,+,Nap1l1,53605,25269
chr10,111506286,111508649,+,Phlda1,21664,2364
chr10,111972695,111988430,+,Krr1,52705,15736
chr10,111985448,112002639,-,Glipr1,73690,17192
chr10,112060189,112078510,+,Glipr1l1,69286,18322
chr10,112083344,112108098,+,Glipr1l2,67537,24755
chr10,112141750,112164166,-,Glipr1l3,544736,22417
chr10,112163349,112216561,+,Caps2,353025,53213
chr10,112269898,112466304,+,Kcnc2,268345,196407
chr10,112925428,112929026,-,Atxn7l3b,382423,3599
chr10,114398821,114801370,-,Trhde,237553,402550
chr10,115078641,115185022,-,Tph2,216343,106382
chr10,115197871,115251493,-,Tbc1d15,66687,53623
chr10,115289862,115317419,-,Rab21,216344,27558
chr10,115340739,115362522,-,Tmem19,67226,21784
chr10,115368398,115384435,-,Thap2,66816,16038
chr10,115384799,115432772,+,Zfc3h1,216345,47974
chr10,115450314,115587780,-,Lgr5,14160,137467
chr10,115569827,115582454,+,A930009A15Rik,77798,12628
chr10,115816817,115849893,+,Tspan8,216350,33077
chr10,116018188,116274932,+,Ptprr,19279,256745
chr10,116111664,116113917,-,Taf7l2,619332,2254
chr10,116275502,116389538,+,Ptprb,19263,114037
chr10,116417861,116473859,-,Kcnmb4,58802,55999
chr10,116485160,116581900,-,Cnot2,72068,96741
chr10,116776545,116896879,-,Myrfl,237558,120335
chr10,116905780,116950456,-,Rab3ip,216363,44677
chr10,116986314,117025687,+,Best3,382427,39374
chr10,117045341,117046768,+,Lrrc10,237560,1428
chr10,117050997,117063852,-,Cct2,12461,12856
chr10,117070127,117148474,-,Frs2,327826,78348
chr10,117215141,117224507,-,Yeats4,64050,9367
chr10,117233753,117238681,-,9530003J23Rik,77397,4929
chr10,117277541,117282272,-,Lyz2,17105,4732
chr10,117287795,117292868,-,Lyz1,17110,5074
chr10,117344667,117376998,-,Cpsf6,432508,32332
chr10,117629500,117687352,+,Cpm,70574,57853
chr10,117688875,117710758,-,Mdm2,17246,21884
chr10,117733678,117746358,-,Slc35e3,215436,12681
chr10,117750621,117792736,-,Nup107,103468,42116
chr10,117814597,117845974,-,Rap1b,215449,31378
chr10,118141540,118168999,+,Mdm1,17245,27460
chr10,118204584,118210047,+,Il22,50929,5464
chr10,118289629,118295038,-,Iltifb,116849,5410
chr10,118441046,118445894,+,Ifng,15978,4849
chr10,118855602,118889245,-,Dyrk2,69181,33644
chr10,119198812,119240055,-,Cand1,71902,41244
chr10,119453238,120087267,+,Grip1,74053,634030
chr10,120083608,120113010,-,Helb,117599,29403
chr10,120141648,120202130,-,Irak3,73914,60483
chr10,120208826,120224897,+,Tmbim4,68212,16072
chr10,120227048,120232071,+,Llph,66225,5024
chr10,120361268,120476469,-,Hmga2,15364,115202
chr10,120781096,120899107,-,Msrb3,320183,118012
chr10,120923411,120979396,-,Lemd3,380664,55986
chr10,121034004,121100642,+,Wif1,24117,66639
chr10,121263819,121351644,-,Tbc1d30,74694,87826
chr10,121365090,121397254,+,Gns,75612,32165
chr10,121410350,121476250,-,Rassf3,192678,65901
chr10,121546455,121586794,-,Tbk1,56480,40340
chr10,121587380,121626506,-,Xpot,73192,39127
chr10,121641101,121694334,+,D930020B18Rik,216393,53234
chr10,121739930,121752865,+,BC048403,270802,12936
chr10,121780991,122047911,-,Srgap1,117600,266921
chr10,122080939,122097366,-,Rxylt1,216395,16428
chr10,122448499,122453453,+,Avpr1a,54140,4955
chr10,122677428,122945795,+,Ppm1h,319468,268368
chr10,122992060,123076505,-,Mon2,67074,84446
chr10,123105006,123197281,-,Usp15,14479,92276
chr10,123264024,123741204,+,Tafa2,268354,477181
chr10,125219270,125389586,-,Slc16a7,20503,170317
chr10,125966219,126015359,+,Lrig3,320398,49141
chr10,126867829,126902024,-,Atp23,68876,34196
chr10,126978717,126999975,+,Ctdsp2,52468,21259
chr10,127000065,127020994,+,Avil,11567,20930
chr10,127022332,127030814,-,Tsfm,66399,8483
chr10,127032806,127042014,-,Eef1akmt3,100504608,9209
chr10,127041549,127046365,+,Mettl1,17299,4817
chr10,127048246,127054884,+,Cyp27b1,13115,6639
chr10,127056050,127060184,-,March9,216438,4135
chr10,127063535,127067288,+,Cdk4,12567,3754
chr10,127067287,127070972,-,Tspan31,67125,3686
chr10,127075269,127093170,+,Agap2,216439,17902
chr10,127094259,127121160,-,Os9,216440,26902
chr10,127165156,127172340,+,B4galnt1,14421,7185
chr10,127171393,127180705,-,Slc26a10,216441,9313
chr10,127182521,127190083,-,Arhgef25,52666,7563
chr10,127190373,127196498,-,Dtx3,80904,6126
chr10,127197067,127211628,-,Pip4k2c,117150,14562
chr10,127225695,127266348,-,Kif5a,16572,40654
chr10,127266262,127281959,+,Dctn2,69654,15698
chr10,127281956,127290869,-,Mbd6,110962,8914
chr10,127290793,127296291,+,Ddit3,13198,5499
chr10,127296221,127311786,-,Mars,216443,15566
chr10,127321913,127329947,+,Arhgap9,216445,8035
chr10,127329882,127341579,-,Gli1,14632,11698
chr10,127349402,127351848,-,Inhbe,16326,2447
chr10,127356322,127370548,-,Inhbc,16325,14227
chr10,127380332,127499384,+,R3hdm2,71750,119053
chr10,127501617,127508823,+,Stac3,237611,7207
chr10,127509274,127517154,+,Ndufa4l2,407790,7881
chr10,127517123,127522444,-,Shmt2,108037,5322
chr10,127525473,127534559,-,Nxph4,104080,9087
chr10,127538157,127621148,-,Lrp1,16971,82992
chr10,127642955,127660987,+,Stat6,20852,18033
chr10,127660918,127666703,-,Nab2,17937,5786
chr10,127677065,127701049,+,Nemp1,210035,23985
chr10,127703436,127720940,+,Myo1a,432516,17505
chr10,127724478,127731768,+,Tac2,21334,7291
chr10,127739530,127747349,+,Zbtb39,320080,7820
chr10,127749602,127751798,-,Gpr182,11536,2197
chr10,127759726,127768299,+,Rdh1,107605,8574
chr10,127776405,127792697,+,Rdh9,103142,16293
chr10,127801090,127815846,+,Rdh16,19683,14757
chr10,127849928,127861176,+,Rdh19,216453,11249
chr10,127866476,127877319,+,Rdh16f2,216454,10844
chr10,127884027,127889247,-,Rdh7,54150,5221
chr10,127898535,127911761,+,Sdr9c7,70061,13227
chr10,127990931,128007648,-,Hsd17b6,27400,16718
chr10,128015215,128030030,+,Prim1,19075,14816
chr10,128035346,128048637,+,Naca,17938,13292
chr10,128058982,128077254,+,Ptges3,56351,18273
chr10,128083307,128090388,+,Atp5b,11947,7082
chr10,128091370,128129303,+,Baz2a,116848,37934
chr10,128129470,128180297,-,Rbms2,56516,50828
chr10,128194635,128210004,+,Gls2,216456,15370
chr10,128209908,128211794,-,Spryd4,66701,1887
chr10,128225810,128231812,+,Mip,17339,6003
chr10,128232063,128252941,+,Timeless,21853,20879
chr10,128254131,128255901,+,Apon,28194,1771
chr10,128268699,128271250,+,Apof,103161,2552
chr10,128270498,128292853,+,Stat2,20847,22356
chr10,128296140,128298084,-,Il23a,83430,1945
chr10,128303333,128321358,+,Pan2,103135,18026
chr10,128322158,128327187,+,Cnpy2,56530,5030
chr10,128337727,128362482,+,Cs,12974,24756
chr10,128363096,128370056,-,Coq10a,210582,6961
chr10,128377124,128394006,+,Ankrd52,237615,16883
chr10,128395927,128401276,-,Slc39a5,72002,5350
chr10,128401394,128411548,-,Nabp2,69917,10155
chr10,128411616,128441441,+,Rnf41,67588,29826
chr10,128459182,128490586,+,Smarcc2,68094,31405
chr10,128490859,128493886,-,Myl6,17904,3028
chr10,128494157,128498685,-,Myl6b,216459,4529
chr10,128510248,128525859,-,Esyt1,23943,15612
chr10,128543560,128548008,-,Zc3h10,103284,4449
chr10,128548110,128549168,-,Rpl41,67945,1059
chr10,128557766,128565934,-,Pa2g4,18813,8169
chr10,128567523,128589635,-,Erbb3,13867,22113
chr10,128624529,128626506,-,Rps26,27370,1978
chr10,128630839,128669671,-,Ikzf4,22781,38833
chr10,128669887,128673918,-,Suox,211389,4032
chr10,128677170,128696284,-,Rab5b,19344,19115
chr10,128695888,128720238,+,Pmel,20431,24351
chr10,128697938,128705051,-,Cdk2,12566,7114
chr10,128720131,128745084,-,Dgka,13139,24954
chr10,128747879,128766568,+,Pym1,78428,18690
chr10,128790910,128800827,+,Mmp19,58223,9918
chr10,128798089,128805386,-,Tmem198b,73827,7298
chr10,128804904,128819448,+,Dnajc14,74330,14545
chr10,128817902,128821629,-,Ormdl2,66844,3728
chr10,128821764,128877638,+,Sarnp,66118,55875
chr10,128880524,128891718,-,Gdf11,14561,11195
chr10,128896231,128912822,+,Cd63,12512,16592
chr10,128913588,128920037,-,Rdh5,19682,6450
chr10,128919914,128923524,-,Bloc1s1,14533,3611
chr10,128933421,128958286,+,Itga7,16404,24866
chr10,128958277,128960988,-,Mettl7b,71664,2712
chr10,128989914,128990852,+,Olfr9,18373,939
chr10,129011287,129012216,+,Olfr763,258861,930
chr10,129046132,129047061,-,Olfr765,544748,930
chr10,129079032,129079961,-,Olfr767,258315,930
chr10,129093034,129093972,-,Olfr768,258863,939
chr10,129111485,129112423,-,Olfr769,257667,939
chr10,129132831,129133766,-,Olfr770,258862,936
chr10,129160029,129160982,-,Olfr771,258540,954
chr10,129174051,129175054,-,Olfr772,257666,1004
chr10,129186484,129187419,-,Olfr773,257664,936
chr10,129238151,129239089,+,Olfr774,258232,939
chr10,129250536,129251474,+,Olfr775,258538,939
chr10,129260963,129261901,+,Olfr776,404321,939
chr10,129268386,129269321,-,Olfr777,258537,936
chr10,129321625,129322563,+,Olfr780,258281,939
chr10,129332883,129333818,+,Olfr781,258723,936
chr10,129350565,129351509,+,Olfr782,257985,945
chr10,129387635,129388822,+,Olfr784,258724,1188
chr10,129409368,129410306,+,Olfr785,546488,939
chr10,129436814,129437752,+,Olfr786,258542,939
chr10,129461940,129463616,+,Olfr787,258069,1677
chr10,129472694,129473629,+,Olfr788,258544,936
chr10,129487012,129487950,+,Olfr789,258148,939
chr10,129500886,129501854,+,Olfr790,258935,969
chr10,129526229,129527167,+,Olfr791,258932,939
chr10,129540539,129541474,+,Olfr792,258150,936
chr10,129570657,129571619,+,Olfr794,258375,963
chr10,129607547,129608479,-,Olfr796,258933,933
chr10,129625124,129626059,-,Olfr798,258549,936
chr10,129647130,129648065,+,Olfr799,258929,936
chr10,129659808,129660743,+,Olfr800,258541,936
chr10,129669561,129670517,-,Olfr801,258282,957
chr10,129681799,129682737,-,Olfr802,258934,939
chr10,129691113,129692039,-,Olfr803,258547,927
chr10,129704880,129705824,+,Olfr804,258068,945
chr10,129722583,129723542,-,Olfr805,258548,960
chr10,129737974,129738915,-,Olfr806,258546,942
chr10,129754513,129755448,-,Olfr807,258931,936
chr10,129767498,129768436,+,Olfr808,258930,939
chr10,129775871,129776857,+,Olfr809,258321,987
chr10,129790649,129791587,-,Olfr810,258543,939
chr10,129801564,129802523,-,Olfr811,258545,960
chr10,129842108,129843040,-,Olfr812,258791,933
chr10,129856520,129857452,+,Olfr813,258252,933
chr10,129873823,129874755,-,Olfr814,259165,933
chr10,129901776,129902726,-,Olfr815,258665,951
chr10,129911338,129912276,-,Olfr816,258667,939
chr10,129945104,129946060,-,Olfr818,258773,957
chr10,129965736,129966698,-,Olfr819,100043200,963
chr10,129974605,129975549,-,Olfr247,258266,945
chr10,129983480,129984442,-,Gm10310,108167789,963
chr10,130017363,130018301,+,Olfr820,258670,939
chr10,130033628,130034560,+,Olfr821,258772,933
chr10,130074412,130075350,+,Olfr822,258666,939
chr10,130111841,130112788,-,Olfr823,258668,948
chr10,130126108,130127055,-,Olfr824,258669,948
chr10,130162362,130163324,-,Olfr825,258672,963
chr10,130179937,130180878,-,Olfr826,258671,942
chr10,130210160,130211128,-,Olfr827,258297,969
chr10,130268152,130280254,-,Neurod4,11923,12103
chr10,130322826,130363469,+,Tespa1,67596,40644
chr10,130385800,130394241,-,Vmn2r84,625068,8442
chr10,130418261,130429612,-,Vmn2r85,623734,11352
chr10,130446199,130455894,-,Vmn2r86,625109,9696
chr10,130471821,130497379,-,Vmn2r87,625131,25559
chr11,3131850,3203347,-,Sfi1,78887,71498
chr11,3201544,3203218,-,LOC115487746,115487746,1675
chr11,3202343,3244588,+,Eif4enif1,74203,42246
chr11,3249907,3266464,-,Drg1,13494,16558
chr11,3289131,3309083,+,Patz1,56218,19953
chr11,3319241,3342971,+,Pik3ip1,216505,23731
chr11,3343297,3409276,-,Limk2,16886,65980
chr11,3415973,3452956,-,Rnf185,193670,36984
chr11,3488158,3499346,+,Pla2g3,237625,11189
chr11,3494272,3505501,-,Inpp5j,170835,11230
chr11,3514684,3517351,+,Selenom,114679,2668
chr11,3517522,3539292,-,Smtn,29856,21771
chr11,3649189,3690477,+,Morc2a,74522,41289
chr11,3703731,3863999,-,Osbp2,74309,160269
chr11,3886087,3895308,-,4921536K21Rik,67430,9222
chr11,3894935,3901299,+,Dusp18,75219,6365
chr11,3907022,3914664,-,Slc35e4,103710,7643
chr11,3917077,3932078,-,Tcn2,21452,15002
chr11,3963975,3980004,+,Pes1,64934,16030
chr11,3983633,3999328,+,Gal3st1,53897,15696
chr11,4031378,4048426,+,Sec14l4,103655,17049
chr11,4064853,4078990,+,Sec14l3,380683,14138
chr11,4091481,4095431,-,Mtfp1,67900,3951
chr11,4097039,4118729,-,Sec14l2,67815,21691
chr11,4135157,4141193,+,Rnf215,71673,6037
chr11,4141123,4160293,-,Ccdc157,216516,19171
chr11,4160354,4182541,+,Sf3a1,67465,22188
chr11,4186833,4215507,+,Tbc1d10a,103724,28675
chr11,4218166,4222409,+,Castor1,71962,4244
chr11,4236785,4241026,+,Osm,18413,4242
chr11,4257568,4272514,+,Lif,16878,14947
chr11,4345801,4441198,-,Hormad2,75828,95398
chr11,4480867,4594863,-,Mtmr3,74302,113997
chr11,4637696,4685699,+,Ascc2,75452,48004
chr11,4701968,4704344,-,Uqcr10,66152,2377
chr11,4704656,4737669,+,Zmat5,67178,33014
chr11,4736892,4747179,-,Cabp7,192650,10288
chr11,4757639,4849544,-,Nf2,18016,91906
chr11,4873951,4894201,+,Nipsnap1,18082,20251
chr11,4895283,4928867,+,Thoc5,107829,33585
chr11,4938754,4948064,-,Nefh,380684,9311
chr11,4947320,5042794,+,Ap1b1,11764,95475
chr11,5054131,5065348,-,Gas2l1,78926,11218
chr11,5058128,5060385,+,Rasl10a,75668,2258
chr11,5069687,5099107,-,Ewsr1,14030,29421
chr11,5098282,5106100,+,Rhbdd3,279766,7819
chr11,5106265,5152322,-,Emid1,140703,46058
chr11,5135858,5137756,+,Gm39572,105243808,1899
chr11,5191551,5261713,-,Kremen1,84035,70163
chr11,5276329,5444847,-,Znrf3,407821,168519
chr11,5520641,5525993,+,Xbp1,22433,5353
chr11,5528887,5542217,-,Ccdc117,104479,13331
chr11,5569680,5689617,+,Ankrd36,76389,119938
chr11,5703982,5707701,-,Mrps24,64660,3720
chr11,5713417,5762376,-,Urgcp,72046,48960
chr11,5788483,5800980,+,Dbnl,13169,12498
chr11,5801637,5803796,-,Pgam2,56012,2160
chr11,5827860,5838832,-,Polm,54125,10973
chr11,5861866,5872248,+,Aebp1,11568,10383
chr11,5872180,5878256,-,Pold2,18972,6077
chr11,5896637,5898782,-,Myl7,17898,2146
chr11,5900816,5950081,-,Gck,103988,49266
chr11,5955758,5967780,+,Ykt6,56418,12023
chr11,5969629,6066357,-,Camk2b,12323,96729
chr11,6105691,6201619,-,Nudcd3,209586,95929
chr11,6211011,6230245,-,Npc1l1,237636,19235
chr11,6257545,6269786,-,Ddx56,52513,12242
chr11,6270714,6274837,-,Tmed4,103694,4124
chr11,6289817,6292263,-,Gm46270,108167883,2447
chr11,6291597,6359094,+,Ogdh,18293,67498
chr11,6388799,6406162,+,Zmiz2,52915,17364
chr11,6415867,6419817,+,Ppia,268373,3951
chr11,6427226,6444511,-,H2afv,77605,17286
chr11,6467599,6476076,-,Purb,19291,8478
chr11,6506548,6520960,-,Myo1g,246177,14413
chr11,6546887,6596761,+,Ccm2,216527,49875
chr11,6597814,6606059,-,Nacad,192950,8246
chr11,6615598,6626084,-,Tbrg4,21379,10487
chr11,6635483,6638654,-,Wap,22373,3172
chr11,6658506,6677478,+,Ramp3,56089,18973
chr11,6751205,6757674,-,LOC115487832,115487832,6470
chr11,7063433,7178506,+,Adcy1,432530,115074
chr11,7197787,7202546,+,Igfbp1,16006,4760
chr11,7206086,7215498,-,Igfbp3,16009,9413
chr11,8431652,8664758,-,Tns3,319939,233107
chr11,8825696,8974709,-,Pkd1l1,171395,149014
chr11,8920852,8929275,+,Gm40814,105245342,8424
chr11,8993137,9011236,-,Hus1,15574,18100
chr11,9016043,9048991,-,Sun3,194974,32949
chr11,9048592,9069354,+,Gm11992,626870,20763
chr11,9118008,9136170,+,Upp1,22271,18163
chr11,9191942,9684871,+,Abca13,268379,492930
chr11,11113868,11269295,+,Vwc2,319922,155428
chr11,11279624,11464223,-,Zpbp,53604,184600
chr11,11463744,11515192,+,Spata48,73862,51449
chr11,11589223,11627838,-,4930512M02Rik,102631730,38616
chr11,11684962,11772930,+,Ikzf1,22778,87969
chr11,11800288,11808995,-,Fignl1,60530,8708
chr11,11814101,11898144,-,Ddc,13195,84044
chr11,11930499,12037428,-,Grb10,14783,106930
chr11,12236676,12465022,-,Cobl,12808,228347
chr11,14599240,14600316,+,Pom121l12,432536,1077
chr11,16257742,16284551,+,Vstm2a,211739,26810
chr11,16501638,16508484,-,Sec61g,20335,6847
chr11,16752203,16913907,+,Egfr,13649,161705
chr11,16951224,16954777,+,Fbxo48,319701,3554
chr11,16971206,17008718,-,Plek,56193,37513
chr11,17051859,17079372,+,Cnrip1,380686,27514
chr11,17159298,17200380,+,Ppp3r1,19058,41083
chr11,17203198,17211589,-,Pno1,66249,8392
chr11,17211893,17235200,+,Wdr92,103784,23308
chr11,17256450,17269176,+,C1d,57316,12727
chr11,17938753,17953875,-,Etaa1,68145,15123
chr11,18880428,19019651,-,Meis1,17268,139224
chr11,19924442,20024026,+,Spred2,114716,99585
chr11,20062304,20112951,-,Actr2,66713,50648
chr11,20201412,20226856,+,Rab1a,19324,25445
chr11,20227037,20249424,-,Cep68,216543,22388
chr11,20302180,20332713,-,Slc1a4,55963,30534
chr11,20543166,20653023,+,Sertad2,58172,109858
chr11,20685084,20741595,-,Aftph,216549,56512
chr11,20741203,20743384,+,Gm46272,108167886,2182
chr11,20823355,20831916,-,Lgalsl,216551,8562
chr11,21091283,21150327,+,Peli1,67245,59045
chr11,21239032,21321133,+,Vps54,245944,82102
chr11,21321126,21371267,-,Ugp2,216558,50142
chr11,21556692,21571934,-,Mdh1,17449,15243
chr11,21571969,21898687,+,Wdpcp,216560,326719
chr11,21994764,22001651,-,Otx1,18423,6888
chr11,22005825,22287083,-,Ehbp1,216565,281259
chr11,22512283,22519231,+,Tmem17,103765,6949
chr11,22834739,22860336,-,B3gnt2,53625,25598
chr11,22899728,22984539,-,Commd1,17846,84812
chr11,22972005,22976496,+,Zrsr1,22183,4492
chr11,22990593,23003336,+,Cct4,12464,12744
chr11,23006721,23045743,+,Fam161a,73873,39023
chr11,23255909,23297597,+,Xpo1,103573,41689
chr11,23303185,23490560,+,Usp34,17847,187376
chr11,23487882,23498045,-,Ahsa2,268390,10164
chr11,23516202,23521319,-,1700093K21Rik,67358,5118
chr11,23564949,23633681,-,0610010F05Rik,71675,68733
chr11,23646843,23665883,-,Pex13,72129,19041
chr11,23658591,23732876,+,Pus10,74467,74286
chr11,23736847,23770969,-,Rel,19696,34123
chr11,23860145,23895293,-,Papolg,216578,35149
chr11,24076564,24173558,+,Bcl11a,14025,96995
chr11,26387084,26471883,+,Fancl,67030,84800
chr11,26471398,26594012,-,Vrk2,69922,122615
chr11,28385684,28587234,-,Ccdc85a,216613,201551
chr11,28853154,28926743,+,Efemp1,216616,73590
chr11,29130129,29161827,+,Pnpt1,71701,31699
chr11,29172976,29220797,+,Ppp4r3b,104570,47822
chr11,29218918,29247317,-,Cfap36,216618,28400
chr11,29373405,29510808,+,Ccdc88a,108686,137404
chr11,29511757,29515033,-,Prorsd1,67939,3277
chr11,29525352,29545452,+,Mtif2,76784,20101
chr11,29545842,29548040,-,Rps27a,78294,2199
chr11,29547950,29578360,+,Clhc1,73324,30411
chr11,29692898,29744414,+,Rtn4,68585,51517
chr11,29743044,30026045,-,Eml6,237711,283002
chr11,29822395,29825668,-,4931440F15Rik,216622,3274
chr11,30099395,30268384,-,Sptbn1,20742,168990
chr11,30426006,30471829,-,4930505A04Rik,75087,45824
chr11,30505992,30649608,-,Acyp2,75572,143617
chr11,30771775,30881150,+,Psme4,103554,109376
chr11,30862794,30954386,-,Erlec1,66753,91593
chr11,30884633,30896090,+,Gpr75,237716,11458
chr11,30954392,31102704,+,Asb3,65257,148313
chr11,30976707,30986365,-,Chac2,68044,9659
chr11,31359441,31370061,-,Stc2,20856,10621
chr11,31665150,31671862,-,Bod1,69556,6713
chr11,31870104,31935635,+,Cpeb4,67579,65532
chr11,31965554,31979655,+,4930524B15Rik,67592,14102
chr11,31999704,32059211,+,Nsg2,18197,59508
chr11,32187544,32205283,-,Il9r,16199,17740
chr11,32205415,32208996,+,Snrnp25,78372,3582
chr11,32209585,32222331,-,Rhbdf1,13650,12747
chr11,32226505,32232702,+,Mpg,268395,6198
chr11,32231963,32267707,-,Nprl3,17168,35745
chr11,32276600,32278116,+,Hba-x,15126,1517
